datetime,duration_ms,status,keyword_status
2026-03-11T22:23:18+00:00,1403,success,found
2026-03-11T22:37:57+00:00,4460,success,found
2026-03-11T22:48:49+00:00,116,success,found
2026-03-11T22:57:29+00:00,2637,success,found
2026-03-11T23:08:47+00:00,1893,success,found
2026-03-11T23:20:35+00:00,2311,success,found
2026-03-11T23:35:26+00:00,2705,success,found
2026-03-11T23:46:21+00:00,1487,success,found
2026-03-11T23:56:01+00:00,1868,success,found
2026-03-12T00:15:29+00:00,3404,success,found
2026-03-12T00:46:16+00:00,2690,success,found
2026-03-12T01:17:19+00:00,247,success,found
2026-03-12T02:02:50+00:00,1310,success,found
2026-03-12T03:09:36+00:00,2936,success,found
2026-03-12T04:40:57+00:00,1402,success,found
2026-03-12T05:10:11+00:00,2947,success,found
2026-03-12T05:36:08+00:00,1397,success,found
2026-03-12T05:59:06+00:00,1964,success,found
2026-03-12T06:27:52+00:00,1563,success,found
2026-03-12T06:49:09+00:00,2400,success,found
2026-03-12T07:13:07+00:00,1621,success,found
2026-03-12T07:34:30+00:00,330,success,found
2026-03-12T07:52:58+00:00,335,success,found
2026-03-12T08:05:46+00:00,144,success,found
2026-03-12T08:23:54+00:00,1925,success,found
2026-03-12T08:42:26+00:00,2471,success,found
2026-03-12T09:02:21+00:00,1607,success,found
2026-03-12T09:23:50+00:00,1866,success,found
2026-03-12T09:42:25+00:00,3060,success,found
2026-03-12T10:01:48+00:00,2156,success,found
